mat_cells,Young's Modulus,Poisson Ratio,Yield Strength,CTE,Thermal Conductivity,Density,Specific Heat Capacity,Enthalpy of Oxidation,HCS,CSC
37,168087460373.52078,0.3,747632470.0409544,1.2509727506926819e-05,22.005759387008084,8132.554734937501,512.5951059064548,360.39155025490777,0.8909527904774741,0.3872004306460153
38,167040491770.25116,0.3,716603526.5430208,1.2385489530940208e-05,22.04840153862909,8133.402656939974,512.6844322044658,359.69953151573725,0.9281752388087311,0.4060587012923756
39,166013702366.0952,0.3,716692800.1375347,1.2245298098863233e-05,22.088967150819496,8134.323150102112,512.7956330326283,358.8925059369501,0.9793605463498634,0.42854530289756265
40,164951399621.7148,0.3,717278723.0301256,1.2088845247126614e-05,22.127890954578717,8135.257342469963,512.9384712645042,357.9723484162428,1.0338539025498485,0.45502218555662055
41,163888436376.01834,0.3,718444064.1240232,1.191768884082685e-05,22.16228526733122,8136.186125874494,513.1297326060213,356.9430525190305,1.0938785905243575,0.4856193087899001
42,162846498557.01907,0.3,720213981.156135,1.1734532252310346e-05,22.188949612358417,8137.098547595919,513.3956235885001,355.8168461954119,1.161318245394081,0.5203514153419675
43,161831685854.47348,0.3,722547426.4343637,1.1543168726428385e-05,22.204761639598658,8137.990895119723,513.7733264047022,354.61381852397307,1.235113400910467,0.5588167934689644
44,160844109405.46417,0.3,725334437.2101296,1.1348228576739857e-05,22.207259339939675,8138.86900218543,514.3089301138824,353.36034628697615,1.307866188630823,0.6002965803910466
45,159886083179.10614,0.3,728391512.7811649,1.1154763271673084e-05,22.195012163499097,8139.743486691659,515.0500240209851,352.08707310162737,1.376521798472758,0.6437793067378768
46,158963742725.10666,0.3,731466136.8534313,1.0967731730364785e-05,22.168165409819192,8140.622346273128,516.0339353842256,350.8265075607133,1.3602867057057664,0.6463348297484007
47,158111809821.72067,0.3,734178797.8894562,1.0791500407263529e-05,22.128247141444533,8141.509229963224,517.2756556693428,349.6027812709439,1.2096956307343947,0.5896217766398122
48,157523571829.62943,0.3,735753726.0220093,1.0629468908093946e-05,22.07801951135406,8142.394229202111,518.7590799998026,348.38961846187766,1.0467292383840434,0.5284481649464008
49,156986598473.89905,0.3,736502962.8038447,1.0483871248124609e-05,22.020914584458847,8143.2649033416565,520.4371160225868,347.3167909633236,0.7542364038485645,0.46585702673190427
50,156505220555.09445,0.3,736011912.9995033,1.0355753070945155e-05,21.960474634731256,8144.102651105777,522.2396274139342,346.3777437945969,0.5138871937254785,0.40444112223405265
51,156081134266.39624,0.3,733704753.6974778,1.0251646503822024e-05,21.970053310841628,8145.130791179576,524.0061736486473,345.53145759260235,0.3319763241485418,0.3462573236982197
52,155711775505.05307,0.3,728457473.143475,1.0169396853499875e-05,22.028975944974988,8146.385286903532,525.6501876632187,344.7825682474867,0.19723985202377906,0.29262573626035593
53,155263786933.41205,0.3,712112341.8475748,1.0101374108374569e-05,22.07535854992225,8147.6282322662655,527.182492982566,344.1230267588046,0.10660777600022159,0.24442079791830162
54,155086203325.29855,0.3,705855561.51596,1.0045548798765597e-05,22.111663922489626,8148.811919575446,528.5709057777486,343.5118715424988,0.04705174785950733,0.20239665518567604
55,155000000000.0,0.3,715999999.9999999,1e-05,22.140000000000004,8149.9,529.8,342.97931445312497,0.010016399999999998,0.16693999999999998
56,161239367598.89127,0.3,313313278.25999993,1.6833736e-05,27.492754,8266.23,507.24465488883646,242.4160078125,1.2609993999999998,0.31315999999999994
57,162445773167.97028,0.3,573656648.069,1.560057435e-05,22.868691249999998,8259.0096,508.01529527466175,246.02728759765623,1.2954495,0.33129
58,159500000000.00015,0.3,140214741.598,1.46522107e-05,20.0950155,8247.9352,509.62267116487914,248.904474609375,1.3584548,0.35652
59,159249999999.99985,0.3,153073943.477,1.406164805e-05,19.041298750000003,8234.8058,513.8727195364793,251.90511474609372,1.452501,0.38827
60,159006268342.58212,0.3,199115143.89599997,1.3680202900000002e-05,19.456892,8221.5934,522.2190269050693,256.26607836914064,1.5760229,0.42823
61,158880220889.92477,0.3,297988256.125,1.354796475e-05,19.80001125,8204.284,531.9602650570557,261.3045324707031,1.7513864,0.47979
62,158670160708.9238,0.3,346303352.794,1.34282891e-05,20.0489455,8186.7986,541.8883344632675,266.8693100585937,1.9891968,0.54794
63,158421985230.64847,0.3,382174235.36300004,1.323714695e-05,20.186907750000003,8170.7922,551.0166275102076,272.876138671875,2.304490000000001,0.6347900000000001
64,158171591854.12292,0.3,417573104.492,1.29912828e-05,20.188518000000002,8156.406800000001,558.5301475416608,278.7554892578125,2.70299,0.74456
65,157919355483.4662,0.3,452482160.561,1.266393915e-05,20.115865250000002,8144.683400000001,565.1337847666011,284.5364609375,3.0648997,0.83505
66,157665939361.95825,0.3,487045082.37,1.23230545e-05,19.9266995,8134.822000000001,569.8422630654927,290.2514619140625,3.1878617,0.86151
67,157411805821.7849,0.3,521376887.119,1.2001550849999999e-05,19.58623675,8126.393599999999,571.7394763994243,295.91770800781256,3.2640784,0.8634400000000001
